"state","acgr_2011","acgr_2012","acgr_2013","acgr_2014","acgr_2015","acgr_2016","acgr_2017","acgr_2018","acgr_2019","acgr_2020","acgr_2021","alcohol_2011","alcohol_2013","alcohol_2015","alcohol_2017","bully_2009","bully_2011","bully_2013","bully_2015","bully_2017","cyberbully_2009","cyberbully_2011","cyberbully_2013","cyberbully_2015","cyberbully_2017","weapon_2011","weapon_2013","weapon_2015","weapon_2017","Total_2011","Total_2013","Total_2015","Total_2017","Total_2019","Total_2021","Male_2011","Male_2013","Male_2015","Male_2017","Male_2019","Male_2021","Female_2011","Female_2013","Female_2015","Female_2017","Female_2019","Female_2021","Native_2011","Native_2013","Native_2015","Native_2017","Native_2019","Native_2021","Asian_2011","Asian_2013","Asian_2015","Asian_2017","Asian_2019","Asian_2021","Black_2011","Black_2013","Black_2015","Black_2017","Black_2019","Black_2021","Hispanic_2011","Hispanic_2013","Hispanic_2015","Hispanic_2017","Hispanic_2019","Hispanic_2021","Islander_2011","Islander_2013","Islander_2015","Islander_2017","Islander_2019","Islander_2021","White_2011","White_2013","White_2015","White_2017","White_2019","White_2021","Other_2011","Other_2013","Other_2015","Other_2017","Other_2019","Other_2021","Heterosexual_2011","Heterosexual_2013","Heterosexual_2015","Heterosexual_2017","Heterosexual_2019","Heterosexual_2021","Homosexual_2011","Homosexual_2013","Homosexual_2015","Homosexual_2017","Homosexual_2019","Homosexual_2021","Bisexual_2011","Bisexual_2013","Bisexual_2015","Bisexual_2017","Bisexual_2019","Bisexual_2021","Undecided_2011","Undecided_2013","Undecided_2015","Undecided_2017","Undecided_2019","Undecided_2021","Other/questioning_2011","Other/questioning_2013","Other/questioning_2015","Other/questioning_2017","Other/questioning_2019","Other/questioning_2021","9th_2011","9th_2013","9th_2015","9th_2017","9th_2019","9th_2021","10th_2011","10th_2013","10th_2015","10th_2017","10th_2019","10th_2021","11th_2011","11th_2013","11th_2015","11th_2017","11th_2019","11th_2021","12th_2011","12th_2013","12th_2015","12th_2017","12th_2019","12th_2021"
"Oklahoma",NA,84.8,82.7,82.5,81.6,82.6,81.8,84.9,80.8,80,NA,38.31,33.39,27.3,31.63,17.5,16.7,18.6,20.36,21.27,NA,15.6,14.3,14.48,16.11,5.68,4.58,5.13,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oregon",68,68.7,72,73.8,74.8,76.7,78.7,80,82.6,80.6,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania",84,85.5,85.3,84.8,86.1,86.6,85.9,86.5,87.4,86.7,87,NA,NA,30.6,31.05,19.2,NA,NA,19.86,21.69,NA,NA,NA,14.3,17.3,NA,NA,4.97,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhode Island",77,79.7,80.8,83.2,82.8,84.1,84,83.9,83.6,83.7,83.3,33.98,30.92,26.15,23.23,16.3,19.1,18.1,15.48,17.32,NA,15.3,14.3,12.38,14.21,NA,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina",75,77.6,80.1,80.3,82.6,83.6,81,81.1,82.2,83.3,83.8,39.67,28.94,24.57,25.37,15.1,18.3,20.2,19.75,21.53,NA,15.6,13.8,14.1,13.64,9.2,6.46,5.33,9.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Dakota",83,82.7,82.7,83.9,83.9,83.7,84.1,84.1,84.2,82.9,82.1,39.25,30.84,28.01,NA,NA,26.7,24.3,21.61,NA,NA,19.6,17.8,18.36,NA,6.05,4.96,7.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee",87,86.3,87.2,87.9,88.5,89.8,90,90.5,90.4,89.3,90.4,33.26,28.38,NA,25.85,17.3,17.5,21.1,24.13,20.27,NA,13.9,15.5,15.34,15.64,5.82,9.29,10.17,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas",88,88,88.3,89,89.1,89.7,90,90,NA,90,89.7,39.74,36.09,NA,26.81,18.7,16.5,19.1,NA,18.85,NA,13,13.8,NA,14.72,6.77,7.12,NA,7.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utah",80,83,83.9,84.8,85.2,86,87,87.4,88.2,88.1,88.2,15.05,11.04,NA,10.63,18.8,21.7,21.8,NA,19.41,NA,16.6,16.9,NA,17.96,7.04,5.51,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermont",88,86.6,87.8,87.7,87.7,89.1,85.1,84.5,83.1,83.2,82.8,35.34,NA,29.96,32.99,NA,NA,NA,NA,NA,NA,15.2,18,16.49,15.85,5.5,6.44,5.29,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia",83,84.5,85.3,85.7,86.7,86.9,87.5,87.5,88.8,89.8,89.1,30.47,27.31,23.37,24.48,NA,20.3,21.9,19.53,15.67,NA,14.8,14.5,13.78,12.59,6.98,6.07,6.41,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington",77,76.4,78.2,78.2,79.7,79.4,86.7,81.1,83,NA,83.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Virginia",79,81.4,84.5,86.5,89.8,89.4,90.2,91.3,92.1,91.1,91.2,34.3,37.14,31.05,27.87,23.5,18.6,22.1,24.43,23.68,NA,15.5,17.2,20.22,19.28,6.55,5.55,6.91,6.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wisconsin",88,88,88.6,88.4,88.2,88.6,89.7,90.1,90.4,89.6,90.3,39.22,32.72,NA,30.43,22.5,24,22.7,NA,24.25,NA,16.6,17.6,NA,18.34,5.11,4.26,NA,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming",79,77,78.6,79.3,80,86.2,81.7,82.1,82.3,82.5,81.8,36.06,34.44,30.96,NA,24.4,25,23.3,23.75,NA,NA,18.7,16.1,17.53,NA,7.26,6.79,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
