acc,f1,prec,rec,auc,year,n_test,thr
0.6382978723404256,0.0,0.0,0.0,0.5,2012,47,0.49
0.4897959183673469,0.576271186440678,0.4857142857142857,0.7083333333333334,0.5791666666666667,2013,49,0.48
0.48,0.6486486486486487,0.48,1.0,0.5,2014,50,0.47
0.54,0.6349206349206349,0.5555555555555556,0.7407407407407407,0.5281803542673108,2015,50,0.48
0.54,0.7012987012987013,0.54,1.0,0.9227053140096617,2016,50,0.47
0.66,0.7213114754098361,0.6875,0.7586206896551724,0.7372742200328407,2017,50,0.5
0.84,0.8666666666666667,0.8387096774193549,0.896551724137931,0.909688013136289,2018,50,0.49
0.9166666666666666,0.9310344827586207,0.8709677419354839,1.0,0.9735449735449735,2019,48,0.5
0.9375,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.9428571428571428,2020,48,0.49
0.8958333333333334,0.9206349206349206,0.9354838709677419,0.90625,0.955078125,2021,48,0.47
